village_code,name,jenis,code
5171042003,Banjar Dusun Tainsiat,,
5171042003,Banjar Dusun Kaliungu Kaja,,
5171042003,Banjar Dusun Kalanganyar,,
5171042003,Banjar Dusun Bhuwana Sari,,
5171042003,Banjar Dusun Taman Sari,,
5171042003,Banjar Dusun Umasari,,
5171042003,Banjar Karang Sari,,
5171042003,Banjar Persiapan Lumbung Sari,,
5171042001,Banjar Kereneng,dinas,
5171042001,Banjar Kereneng Kaja,dinas,
5171042001,Banjar Mertanadhi,dinas,
5171042001,Banjar Kertha Bhuwana,dinas,
5171042001,Banjar Mertha Rauh,dinas,
5171042001,Banjar Mertha Rauh Kaja,dinas,
5171022001,Banjar Yangbatu Kauh,,
5171022001,Banjar Yangbatu Kangin,,
5171022001,Banjar Taman Yangbatu,,
5171022001,Banjar Jayagiri,,
5171022001,Banjar Mandala Sari,,
5171031005,Banjar Pekambingan,dinas,
5171031005,Banjar Catur Panca,dinas,
5171031005,Banjar Pelita Sari,dinas,
5171031005,Banjar Kartika,dinas,
5171031005,Banjar Chandra,dinas,
5171031005,Banjar Wirasatya,dinas,
5171031005,Banjar Kirana,dinas,
5171031005,Banjar Eka Paksi,dinas,
5171042006,Banjar Lumintang,,
5171042006,Banjar Wangaya Kaja,,
5171042006,Banjar Wanasari,,
5171042006,Banjar Wangaya Klod,,
5171042006,Banjar Lelangon,,
5171042006,Banjar Mekarsari dan Dusun Terunasari,dinas,
5171042006,Banjar Mekarsari,dinas,
5171042006,Banjar Terunasari,dinas,
5171032004,Banjar Eka Sila,dinas,
5171032004,Banjar Batu Bintang,dinas,
5171032004,Banjar Bumi Banten,dinas,
5171032004,Banjar Bumi Kerthi,dinas,
5171032004,Banjar Bumi Shanti,dinas,
5171032004,Banjar Bumi Asri,dinas,
5171032004,Banjar Bumi Sari,dinas,
5171032004,Banjar Sanglah Barat,dinas,
5171032004,Banjar Sanglah,dinas,
5171032004,Banjar Sanglah Utara,dinas,
5171032004,Banjar Sanglah Timur,dinas,
5171031010,Banjar Padangsambian,dinas,
5171031010,Banjar Padang Praja,dinas,
5171031010,Banjar Minggir,dinas,
5171031010,Banjar Padang Sari,dinas,
5171031010,Banjar Padang Udayana,dinas,
5171031010,Banjar Anyar,dinas,
5171031010,Banjar Balun,dinas,
5171031010,Banjar Buana Agung,dinas,
5171031010,Banjar Buana Indah,dinas,
5171031010,Banjar Merta Buana,dinas,
5171031010,Banjar Mekar Buana,dinas,
5171031010,Banjar Padang Griya,dinas,
5171031010,Banjar Buana Mas Indah,dinas,
5171031010,Banjar Buana Permai,dinas,
5171031010,Banjar Buana Santhi,dinas,
5171031010,Banjar Buana Permata Hijau,dinas,
5171031010,Banjar Taman Harum,dinas,
5171031010,Banjar Taman Sekar,dinas,
5171031010,Banjar Tegal Sari,dinas,
5171011004,Banjar Kaja,dinas,
5171011004,Banjar Celuk,dinas,
5171011004,Banjar Kangin,dinas,
5171011004,Banjar Sasih,dinas,
5171011004,Banjar Antap,dinas,
5171011004,Banjar Bekul,dinas,
5171011004,Banjar Maniksaga,dinas,
5171011004,Banjar Tegalsari,dinas,
5171011004,Banjar Kertasari,dinas,
5171011002,Banjar Pesanggaran,,
5171011002,Banjar Ambengan,,
5171011002,Banjar Dukuh Pesirahan,,
5171011002,Banjar Kepisah,,
5171011002,Banjar Karang Suwung,,
5171011002,Banjar Pande,,
5171011002,Banjar Kaja,,
5171011002,Banjar Menesa,,
5171011002,Banjar Puseh,,
5171011002,Banjar Sawah,,
5171011002,Banjar Begawan,,
5171011002,Banjar Pitik,,
5171011002,Banjar Geladag,,
5171011002,Banjar Sama,,
5171041009,Banjar Kepuh,,
5171041009,Banjar Tengah,,
5171041009,Banjar Benaya,,
5171041009,Banjar Pulugambang,,
5171041009,Banjar Tek-Tek,,
5171041009,Banjar Pemalukan,,
5171041009,Banjar Kertasari,,
5171041009,Banjar Dakdakan,,
5171041009,Banjar Hita Bhuana,,
5171041009,Banjar Tag-Tag Kelod,,
5171041009,Banjar Tag-Tag Tengah,,
5171041009,Banjar Tag-Tag Kaja,,
5171042011,Banjar Cengkilung,dinas,
5171042011,Banjar Kedua,dinas,
5171042011,Banjar Jenah,dinas,
5171042011,Banjar Ambengan,dinas,
5171042011,Banjar Kayangan,dinas,
5171042011,Banjar Peninjoan,dinas,
5171042011,Banjar Bantas,dinas,
5171042011,Banjar Jurang Asri,dinas,
5171042011,Banjar Pengukuh,dinas,
5171042011,Banjar Purnama Asri,dinas,
5171042011,Banjar Tunjung Sari,dinas,
5171031007,Banjar Pemeregan,dinas,
5171031007,Banjar Alangkajeng Gede,dinas,
5171031007,Banjar Alangkajeng Menak,dinas,
5171031007,Banjar Gelogor,dinas,
5171031007,Banjar Celagi Gendong,dinas,
5171031007,Banjar Tegal Linggah,dinas,
5171031007,Banjar Kerandan,dinas,
5171031007,Banjar Pemedilan,dinas,
5171031007,Banjar Penyaitan,dinas,
5171031007,Banjar Busung Yeh Kangin,dinas,
5171031007,Banjar Busung Yeh Kauh,dinas,
5171031007,Banjar Kerta Dharma,dinas,
5171031007,Banjar Merta Jaya,dinas,
5171031007,Banjar Merta Yoga,dinas,
5171031007,Banjar Kerta Pura,dinas,
5171012008,Banjar Pemogan Kaja,dinas,
5171012008,Banjar Panti Sari,dinas,
5171012008,Banjar Panti Gede,dinas,
5171012008,Banjar Gunung,dinas,
5171012008,Banjar Gelogor Carik,dinas,
5171012008,Banjar Kajeng,dinas,
5171012008,Banjar Rangkansari,dinas,
5171012008,Banjar Sakah,dinas,
5171012008,Banjar Praja Raksaka,dinas,
5171012008,Banjar Taruna Bhineka,dinas,
5171012008,Banjar Mekar Jaya,dinas,
5171012008,Banjar Dukuh Tangkas,dinas,
5171012008,Banjar Jaba Jati,dinas,
5171012008,Banjar Jaba Tengah,dinas,
5171012008,Banjar Kampung Islam,dinas,
5171012008,Banjar Dalem Kesumasari,dinas,
5171012008,Banjar Dalem,dinas,
5171021014,Banjar Anggabaya,dinas,
5171021014,Banjar Pelagan,dinas,
5171021014,Banjar Paang Kaja,dinas,
5171021014,Banjar Paang Tengah,dinas,
5171021014,Banjar Paang Kelod,dinas,
5171021014,Banjar Semaga,dinas,
5171021014,Banjar Saba,dinas,
5171021014,Banjar Tembau Kaja,dinas,
5171021014,Banjar Tembau Tengah,dinas,
