village_code,name,jenis,code
5171011002,Banjar Ambengan,,
5171011002,Banjar Begawan,,
5171011002,Banjar Dukuh Pesirahan,,
5171011002,Banjar Geladag,,
5171011002,Banjar Kaja,,
5171011002,Banjar Karang Suwung,,
5171011002,Banjar Kepisah,,
5171011002,Banjar Menesa,,
5171011002,Banjar Pande,,
5171011002,Banjar Pesanggaran,,
5171011002,Banjar Pitik,,
5171011002,Banjar Puseh,,
5171011002,Banjar Sama,,
5171011002,Banjar Sawah,,
5171011003,Banjar Alas Arum,dinas,
5171011003,Banjar Dukuh Sari,dinas,
5171011003,Banjar Gaduh,dinas,
5171011003,Banjar Kaja,dinas,
5171011003,Banjar Kampung Bugis,dinas,
5171011003,Banjar Karya Dharma,dinas,
5171011003,Banjar Lantang Bejuh,dinas,
5171011003,Banjar Pegok,dinas,
5171011003,Banjar Pembungan,dinas,
5171011003,Banjar Puri Agung,dinas,
5171011003,Banjar Suwung Batan Kendal,dinas,
5171011003,Banjar Taman Sari,dinas,
5171011003,Banjar Taman Suci,dinas,
5171011003,Banjar Tengah,dinas,
5171011004,Banjar Antap,dinas,
5171011004,Banjar Bekul,dinas,
5171011004,Banjar Celuk,dinas,
5171011004,Banjar Kaja,dinas,
5171011004,Banjar Kangin,dinas,
5171011004,Banjar Kertasari,dinas,
5171011004,Banjar Maniksaga,dinas,
5171011004,Banjar Sasih,dinas,
5171011004,Banjar Tegalsari,dinas,
5171012007,Banjar Dukuh Mertajati,dinas,
5171012007,Banjar Graha Kerti,dinas,
5171012007,Banjar Graha Santhi,dinas,
5171012007,Banjar Kerta Dalem,dinas,
5171012007,Banjar Kerta Petasikan,dinas,
5171012007,Banjar Kerta Raharja,dinas,
5171012007,Banjar Kerta Sari,dinas,
5171012007,Banjar Sari,dinas,
5171012007,Banjar Sekar Kangin,dinas,
5171012007,Banjar Suwung Kangin,dinas,
5171012007,Banjar Tengah,dinas,
5171012007,Banjar Wira Satya,dinas,
5171012008,Banjar Dalem,dinas,
5171012008,Banjar Dalem Kesumasari,dinas,
5171012008,Banjar Dukuh Tangkas,dinas,
5171012008,Banjar Gelogor Carik,dinas,
5171012008,Banjar Gunung,dinas,
5171012008,Banjar Jaba Jati,dinas,
5171012008,Banjar Jaba Tengah,dinas,
5171012008,Banjar Kajeng,dinas,
5171012008,Banjar Kampung Islam,dinas,
5171012008,Banjar Mekar Jaya,dinas,
5171012008,Banjar Panti Gede,dinas,
5171012008,Banjar Panti Sari,dinas,
5171012008,Banjar Pemogan Kaja,dinas,
5171012008,Banjar Praja Raksaka,dinas,
5171012008,Banjar Rangkansari,dinas,
5171012008,Banjar Sakah,dinas,
5171012008,Banjar Taruna Bhineka,dinas,
5171012009,Banjar Anggarkasih,dinas,
5171012009,Banjar Batanpoh,dinas,
5171012009,Banjar Belong,dinas,
5171012009,Banjar Buruwan,dinas,
5171012009,Banjar Langon,dinas,
5171012009,Banjar Pekandelan,dinas,
5171012009,Banjar Penyaringan,adat,
5171012009,Banjar Tegal Asah,dinas,
5171012009,Banjar Wirasana,dinas,
5171012010,Banjar Abiantimbul,dinas,
5171012010,Banjar Belanjong,dinas,
5171012010,Banjar Betngandang,dinas,
5171012010,Banjar Danginpeken,dinas,
5171012010,Banjar Medura,dinas,
5171012010,Banjar Pekandelan,dinas,
5171012010,Banjar Penopengan,dinas,
5171012010,Banjar Puseh,dinas,
5171012010,Banjar Puseh Kauh,dinas,
5171012010,Banjar Tanjung,dinas,
5171012010,Banjar Tewel,dinas,
5171021003,Banjar Abian Tubuh,,
5171021003,Banjar Bhuana Anyar,,
5171021003,Banjar Buaji Anyar,,
5171021003,Banjar Ceramcam,,
5171021003,Banjar Dajan Tangkluk,,
5171021003,Banjar Dangin Tangkluk,,
5171021003,Banjar Dauh Tangkluk,,
5171021003,Banjar Kebon Kuri Kelod,,
5171021003,Banjar Kebon Kuri Mangku,,
5171021003,Banjar Kebon Kuri Tengah,,
5171021003,Banjar Kertha Petasikan,,
5171021003,Banjar Kesumajati,,
5171021003,Banjar Kuningan,,
5171021003,Banjar Lukluk,,
5171021003,Banjar Pabean,,
5171021003,Banjar Pagan Tengah,,
5171021003,Banjar Ujung,,
5171021006,Banjar Abian Kapas,dinas,
5171021006,Banjar Abian Kapas Kelod,dinas,
5171021006,Banjar Abian Kapas Tengah,dinas,
5171021006,Banjar Buaji Sari,dinas,
5171021006,Banjar Ketapian,dinas,
5171021006,Banjar Ketapian Kaja,dinas,
5171021006,Banjar Tanjung Bungkak I,dinas,
5171021010,Banjar Batu Mas,,
5171021010,Banjar Bun,,
5171021010,Banjar Kaliungu Kelod,,
5171021010,Banjar Kayumas Kaja,,
5171021010,Banjar Tegal Sari,,
5171021014,Banjar Anggabaya,dinas,
5171021014,Banjar Paang Kaja,dinas,
5171021014,Banjar Paang Kelod,dinas,
5171021014,Banjar Paang Tengah,dinas,
5171021014,Banjar Pelagan,dinas,
5171021014,Banjar Saba,dinas,
5171021014,Banjar Semaga,dinas,
5171021014,Banjar Tembau Kaja,dinas,
5171021014,Banjar Tembau Kelod,dinas,
5171021014,Banjar Tembau Tengah,dinas,
5171022001,Banjar Jayagiri,,
5171022001,Banjar Mandala Sari,,
5171022001,Banjar Taman Yang Batu,,
5171022001,Banjar Taman Yangbatu,,
5171022001,Banjar Yang Batu Kangin,,
5171022001,Banjar Yang Batu Kauh,,
5171022001,Banjar Yangbatu Kangin,,
5171022001,Banjar Yangbatu Kauh,,
5171022008,Banjar Eka Dharma,dinas,
5171022008,Banjar Kelandis,dinas,
5171022008,Banjar Pagan Kaja,dinas,
5171022008,Banjar Pagan Kelod,dinas,
5171022008,Banjar Pagan Tengah,dinas,
5171022008,Banjar Ratna Bhuwana,dinas,
5171022015,Banjar Ambengan,,
5171022015,Banjar Laplap Sengguan,,
5171022015,Banjar Merta Rauh,,
5171022015,Banjar Merta Rauh Kaja,,
5171022015,Banjar Taman,,
5171031005,Banjar Catur Panca,dinas,
5171031005,Banjar Chandra,dinas,
5171031005,Banjar Eka Paksi,dinas,
5171031005,Banjar Kartika,dinas,
5171031005,Banjar Kirana,dinas,
5171031005,Banjar Pekambingan,dinas,
5171031005,Banjar Pelita Sari,dinas,
5171031005,Banjar Wirasatya,dinas,
5171031007,Banjar Alangkajeng Gede,dinas,
5171031007,Banjar Alangkajeng Menak,dinas,
5171031007,Banjar Busung Yeh Kangin,dinas,
5171031007,Banjar Busung Yeh Kauh,dinas,
5171031007,Banjar Celagi Gendong,dinas,
5171031007,Banjar Gelogor,dinas,
5171031007,Banjar Kerandan,dinas,
5171031007,Banjar Kertha Dharma,,
5171031007,Banjar Kertha Pura,,
5171031007,Banjar Merta Yoga,dinas,
5171031007,Banjar Mertha Jaya,,
5171031007,Banjar Pemedilan,dinas,
5171031007,Banjar Pemeregan,dinas,
5171031007,Banjar Penyaitan,dinas,
5171031007,Banjar Puri,,
5171031007,Banjar Tegal Linggah,dinas,
5171031007,Banjar Tegallinggah,,
5171031010,Banjar Anyar,dinas,
5171031010,Banjar Balun,dinas,
5171031010,Banjar Buana Agung,dinas,
5171031010,Banjar Buana Indah,dinas,
5171031010,Banjar Buana Mas Indah,dinas,
5171031010,Banjar Buana Permai,dinas,
5171031010,Banjar Buana Permata Hijau,dinas,
5171031010,Banjar Buana Santhi,dinas,
5171031010,Banjar Mekar Buana,dinas,
5171031010,Banjar Merta Buana,dinas,
5171031010,Banjar Minggir,dinas,
5171031010,Banjar Padang Griya,dinas,
5171031010,Banjar Padang Praja,dinas,
5171031010,Banjar Padang Sari,dinas,
5171031010,Banjar Padang Udayana,dinas,
5171031010,Banjar Padangsambian,dinas,
5171031010,Banjar Penamparan,,
5171031010,Banjar Taman Harum,dinas,
5171031010,Banjar Taman Sekar,dinas,
5171031010,Banjar Tegal Sari,dinas,
5171032002,Banjar Abian Timbul,,
5171032002,Banjar Batan Nyuh,,
5171032002,Banjar Buagan,,
5171032002,Banjar Dukuh Anyar,,
5171032002,Banjar Margaya,,
5171032002,Banjar Monang Maning,,
5171032002,Banjar Pekandelan,,
5171032002,Banjar Sading Sari,,
5171032002,Banjar Sampingbuni,,
5171032002,Banjar Tegal Agung,,
5171032002,Banjar Tegal Baler Geria,,
5171032002,Banjar Tegal Gede,,
5171032002,Banjar Tegal Kawan,,
5171032002,Banjar Tegal Langon,,
5171032002,Banjar Teges Mas Jati,,
5171032002,Banjar Tenten,,
5171032003,Banjar Abian Tegal,,
5171032003,Banjar Beraban,,
5171032003,Banjar Bumi Werdi,,
5171032003,Banjar Pengiasan,,
5171032003,Banjar Sebelanga,,
5171032004,Banjar Batu Bintang,dinas,
5171032004,Banjar Bumi Asri,dinas,
5171032004,Banjar Bumi Banten,dinas,
5171032004,Banjar Bumi Kerthi,dinas,
5171032004,Banjar Bumi Santhi,,
5171032004,Banjar Bumi Sari,dinas,
5171032004,Banjar Bumi Shanti,dinas,
5171032004,Banjar Eka Sila,dinas,
5171032004,Banjar Sanglah,dinas,
5171032004,Banjar Sanglah Barat,dinas,
5171032004,Banjar Sanglah Timur,dinas,
5171032004,Banjar Sanglah Utara,dinas,
5171032006,Banjar Gemeh,,
5171032006,Banjar Suci,,
5171032006,Banjar Titih Kaler,,
5171032006,Banjar Titih Kelod,,
5171032006,Banjar Titih Tengah,,
5171032008,Banjar Asta Buana,,
5171032008,Banjar Cemara Agung,,
5171032008,Banjar Sangga Agung,,
5171032008,Banjar Sapta Bumi,,
5171032008,Banjar Sari Buana,,
5171032009,Banjar Buana Asri,,
5171032009,Banjar Buana Sari,,
5171032009,Banjar Graha Santi,,
5171032009,Banjar Manut Negara,,
5171032009,Banjar Mertha Gangga,,
5171032009,Banjar Muliawan,,
5171032009,Banjar Panca Kertha,,
5171032009,Banjar Tegal Wangi,,
5171041004,Banjar Batanancak / Tegeh Kuri,dinas,
5171041004,Banjar Kedaton / Sengguan,dinas,
5171041004,Banjar Oongan,dinas,
5171041004,Banjar Tangguntiti,dinas,
5171041004,Banjar Tatasan Kaja,dinas,
5171041004,Banjar Tatasan Kelod,dinas,
5171041004,Banjar Tega,dinas,
5171041004,Banjar Tegeh Sari,dinas,
5171041009,Banjar Benaya,,
5171041009,Banjar Dakdakan,,
5171041009,Banjar Hita Bhuana,,
5171041009,Banjar Kepuh,,
5171041009,Banjar Kertasari,,
5171041009,Banjar Pemalukan,,
5171041009,Banjar Pulugambang,,
5171041009,Banjar Tag-Tag Kaja,,
5171041009,Banjar Tag-Tag Kelod,,
5171041009,Banjar Tag-Tag Tengah,,
5171041009,Banjar Tek-Tek,,
5171041009,Banjar Tengah,,
5171042001,Banjar Kereneng,dinas,
5171042001,Banjar Kereneng Kaja,dinas,
5171042001,Banjar Kertha Bhuwana,dinas,
5171042001,Banjar Mertanadhi,dinas,
5171042001,Banjar Mertha Rauh,dinas,
5171042001,Banjar Mertha Rauh Kaja,dinas,
5171042002,Banjar Belaluan,,
5171042002,Banjar Belaluan Sadmerta,,
5171042002,Banjar Pucak Sari,,
5171042002,Banjar Tampak Gangsul,,
5171042003,Banjar Dusun Bhuwana Sari,,
5171042003,Banjar Dusun Kalanganyar,,
5171042003,Banjar Dusun Kaliungu Kaja,,
5171042003,Banjar Dusun Tainsiat,,
5171042003,Banjar Dusun Taman Sari,,
5171042003,Banjar Dusun Umasari,,
5171042003,Banjar Kalanganyar,,
5171042003,Banjar Kaliungu Kaja,,
5171042003,Banjar Karang Sari,,
5171042003,Banjar Lumbungsari,,
5171042003,Banjar Persiapan Lumbung Sari,,
5171042003,Banjar Tainsiat,,
5171042003,Banjar Umasari,,
5171042005,Banjar Balun,,
5171042005,Banjar Belong Gede,,
5171042005,Banjar Belong Menak,,
5171042005,Banjar Gerenceng,,
5171042005,Banjar Kertha Sari,,
5171042005,Banjar Kerthajati,,
5171042005,Banjar Kusumajati,,
5171042005,Banjar Margajati,,
5171042005,Banjar Mekar Manis,,
5171042005,Banjar Merthayasa,,
5171042005,Banjar Panti Gede,,
5171042005,Banjar Panti Sari,,
5171042005,Banjar Semilajati,,
5171042005,Banjar Tulangampiang,,
5171042006,Banjar Lelangon,,
5171042006,Banjar Lumintang,,
5171042006,Banjar Mekarsari,dinas,
5171042006,Banjar Mekarsari Dan Dusun Terunasari,dinas,
5171042006,Banjar Teruna Sari,,
5171042006,Banjar Terunasari,dinas,
5171042006,Banjar Wanasari,,
5171042006,Banjar Wangaya Kaja,,
5171042006,Banjar Wangaya Kelod,,
5171042008,Banjar Tengah,,
5171042011,Banjar Ambengan,dinas,
5171042011,Banjar Bantas,dinas,
5171042011,Banjar Cengkilung,dinas,
5171042011,Banjar Jenah,dinas,
5171042011,Banjar Jurang Asri,dinas,
5171042011,Banjar Kayangan,dinas,
5171042011,Banjar Kedua,dinas,
5171042011,Banjar Pengukuh,dinas,
5171042011,Banjar Peninjoan,dinas,
5171042011,Banjar Purnama Asri,dinas,
5171042011,Banjar Tunjung Sari,dinas,
